decision_id,date,scope_version,decision,alternatives,evidence,assumptions,status,owner,approver,reopen_trigger,related_artifacts
DEC-001,2026-09-09,v0.1,연구 워크스페이스를 F:\obsidian\vault\통계분석앱\ 루트에 engineer-research-lifecycle 템플릿 구조로 생성하고 P0~P2를 병행 착수한다,별도 하위폴더(예: research/)로 분리하는 안,기존 폴더가 본 프로젝트 전용으로 이미 지정되어 있음,통계분석앱 폴더는 향후에도 본 연구+앱 개발 자료만 보관됨,accepted,Ian,Ian,폴더 용도 변경 시,README.md; 00_GOVERNANCE/*
DEC-002,2026-09-09,v0.1,헌장 목표에 G7(실제 가전 조립 현장 적용사례 조사)을 추가하고 이를 최우선 근거 공백(GAP-06)으로 지정한다,문헌 조사만으로 Case Library를 구성하는 안(기각),사용자가 세션 중 명시적으로 실제 현장 적용사례 조사의 중요성을 지시함,실제 현장조사가 앱의 핵심 차별화 요소(Case Library) 신뢰성에 결정적임,accepted,Ian,Ian,현장 접근 불가 판명 시 대안 경로 재검토,00_GOVERNANCE/Research_Charter.md; 01_SCOPE/Research_Questions.md; 04_METHODS/Field_Case_Library_Protocol.md
DEC-003,2026-09-09,v0.1,GAP-06 현장조사를 외부 인터뷰이 섭외 없이 Ian 본인과 Claude 간 1:1 대화형 인터뷰(Claude 질문/Ian 답변)로 실행하며 사전에 인터뷰 기법 문헌을 보강한다,다수 외부 인터뷰이 섭외(원안, 시간·접근성 제약으로 보류),사용자가 1:1 인터뷰 형식을 명시적으로 지시함; Ian이 대상 회사의 품질/공정 엔지니어 본인임(프로필 기준),Ian 1인 인터뷰만으로는 표본이 1건이므로 일반화 불가하며 향후 타 인원 인터뷰로 확대 가능,accepted,Ian,Ian,추가 인터뷰이 확보 시 범위 확대,04_METHODS/Field_Case_Library_Protocol.md; 05_EXECUTION/Execution_Log.csv RUN-003
DEC-004,2026-09-09,v0.1,에어컨 공정 인터뷰(세션1) 이후 추가 인터뷰의 한계효용이 낮다고 판단하여 Round3~5(세부 커뮤니케이션 질문 등)를 생략하고 외부 사례조사(소모성부품 수명/교체주기, 안전재고)로 연구활동 방향을 전환한다,인터뷰 라운드를 끝까지 진행하는 안(기각),사용자가 세션 중 명시적으로 '인터뷰를 더 해도 얻을 내용이 많지 않다'고 판단하고 대안 방향을 제안함,본 앱의 가치는 CTQ 통계분석뿐 아니라 신뢰성/재고관리 등 인접 통계영역까지 사례로 제시하면 사용자 인식을 넓힐 수 있다는 가설(H6),accepted,Ian,Ian,타 제품군 인터뷰 기회가 생기면 재개,01_SCOPE/Research_Questions.md RQ-11 H5-H6; 02_EVIDENCE/Case_Library_Register.csv CASE-002~003
DEC-005,2026-09-09,v0.1,타 제품군 담당자 추가 인터뷰를 진행하지 않고(사용자 판단: 결과가 다르지 않을 것) 산업 공통의 잘 알려진 통계활용 사례를 MSA/원인분석방법론/핵심요인분석/결과검증방법/유지관리방안 5개 주제로 문헌조사하여 Case Library를 구성한다(G8 신설),제품군별(냉장고/세탁기/조리기기) 추가 인터뷰를 계속 시도하는 안(사용자가 명시적으로 기각),사용자가 '통계 도구 사용법도 모르고 어떤 일에 통계분석이 필요한지도 모른다'는 근본원인이 제품군에 무관하게 공통적이라고 판단; 제조 공통 업무(측정/원인분석/요인분석/검증/유지관리)에는 산업 전반의 잘 확립된 사례가 존재,단일 제품군 인터뷰로는 이 근본원인의 일반성을 확증할 수 없으므로 문헌의 교차산업 사례로 보강,accepted,Ian,Ian,사용자가 특정 제품군 실사례가 더 필요하다고 판단 시 재개,00_GOVERNANCE/Research_Charter.md G8; 01_SCOPE/Research_Questions.md RQ-12; 02_EVIDENCE/Case_Library_Register.csv CASE-004~008; Source_Register.csv SRC-117~125
DEC-006,2026-09-09,v0.1,GAP-07(Navigator 로직 통계전문가 독립리뷰)을 waive하고 Claude의 2차 자기비판적 재검토(Review Pass 2)를 대체 통제수단으로 채택한다. 이 재검토 결과는 'reviewed(self-reviewed)' 수준까지만 인정하며 'accepted'(오너 승인)는 Ian이 별도로 결정한다,전문가 확보까지 해당 게이트를 무기한 보류하는 안(연구 진행이 정체되므로 기각),사용자가 '전문가가 없어 곤란하니 클로드가 대신 하라'고 명시적으로 지시,자기검토는 완전한 독립검토를 대체할 수 없으나(SKILL.md 가드레일 리스크 잔존) 전문가 부재 상황에서는 waived+대체통제가 스킬이 허용하는 정당한 처리방식,accepted,Ian,Ian,실제 통계 전문가 확보 시 최우선으로 재검토 요청,04_METHODS/Navigator_Logic_Statistical_Audit.md Review Pass 2; 02_EVIDENCE/Evidence_Gaps.md GAP-07; 07_RESULTS/Findings_Register.csv FND-09
DEC-007,2026-09-10,v0.1,Ian의 명시적 지시('연구를 먼저 완료해 주세요')에 따라 G3(실데이터)·G5(실사용자 검증)를 미착수 상태로 명시적으로 이관하고 G6(Adjudication)·G7(Translation)을 현재 확보된 근거 범위 내에서 self-adjudicated로 완료한다. 최종 승인(accepted)은 Ian의 몫으로 남긴다,G3/G5 완료까지 최종보고서 작성을 무기한 보류하는 안(실 데이터·추가 인터뷰 확보 경로가 현재 없어 연구가 정체되므로 기각),실 CTQ 데이터 부재·추가 인터뷰 한계효용 소진(DEC-004)·독립전문가 부재(DEC-006)라는 자원 제약이 이미 문서화되어 있어 이 시점에 종합판정하는 것이 정당함,현재 근거(문헌 130건·현장인터뷰 1건·시뮬레이션 4건·MVP 커버리지 대조)만으로도 헌장의 성공기준(G7 목표: 최소 1개 이상 현장사례)은 충족되며 G3/G5는 향후 프로토타입 단계로 이관 가능,accepted,Ian,Ian,실 CTQ 데이터 또는 실사용자 테스트 결과 확보 시 재개(G3/G5),08_DELIVERABLES/Final_Report.md; 05_EXECUTION/Gate_Dashboard.csv G6/G7; 07_RESULTS/Limitations_and_Open_Questions.md DBT-04,05
DEC-008,2026-09-10,v0.2,"Ian의 정정에 따라 연구 프레이밍을 '독립 앱(SmartStat Manufacturing)'에서 'PRISM(기존 CTQ 자동분석 앱) 통계분석 Add-on'으로 전환한다. CTQ는 PRISM이 이미 담당하므로 Add-on 범위는 PRISM 밖 개선·관리활동(G8 5대주제)으로 재정의하고, Add-on에 AI를 탑재하지 않으므로 해석은 결정론적 규칙/템플릿 라이브러리로 설계하며(G5 재정의), 여러 통계기법을 자동 연계하는 '분석 패키지' 설계(G9 신설)를 추가한다. 최종 산출물을 'Final_Report류 연구보고서'에서 'Claude Code 협업개발용 지침서'로 확장한다",기존 프레이밍을 유지한 채 신규 요구사항만 부가하는 안(기각 — Baseline·범위 정의 자체가 틀렸으므로 헌장 수준 정정이 필요),Ian이 채팅에서 PRISM의 존재·기능(CTQ 자동분석·보고서·대시보드·표준관리·트렌드·비교분석)과 Add-on/무AI/분석패키지 요구사항을 명시적으로 진술,기존 통계적 발견(Navigator 7위험·시뮬레이션·Case Library·G8 5대주제·MVP 커버리지)은 '독립 앱'이든 'PRISM Add-on'이든 통계적으로 동일하게 유효하므로 폐기하지 않고 재프레이밍만 수행하는 것이 근거의 낭비를 막는 정당한 처리,accepted,Ian,Ian,PRISM 기술정보(GAP-08) 확인 후 통합설계 부분 재검토 가능,00_GOVERNANCE/Research_Charter.md 전면 정정; 02_EVIDENCE/Evidence_Gaps.md GAP-08,09; 07_RESULTS/Findings_Register.csv FND-12; 08_DELIVERABLES/Analysis_Package_Spec_ResultVerification.md
DEC-009,2026-09-10,v0.2,"Ian의 명시적 지시('PRISM 앱의 기술 스택과 데이터 스키마 등은 최종 지침서와 앱 폴더를 클로드 코드에게 전달할 예정이므로 그 부분에 대해서는 미결사항으로 남겨주세요')에 따라, GAP-08(PRISM 기술정보)은 본 연구 단계에서 더 이상 추적조사하지 않고 미결(open, 범위 밖)로 명시적으로 유지한다. 각 분석 패키지 명세의 'PRISM 연동' 섹션은 placeholder로만 작성하며, 연구는 다음 과제(추가 분석 패키지 4건: 원인분석·핵심요인분석·MSA·유지관리)로 진행한다",GAP-08 해소를 위해 Ian에게 PRISM 기술문서 제공을 요청하고 대기하는 안(사용자가 명시적으로 불필요하다고 지시하여 기각),Ian이 채팅에서 PRISM 기술정보는 Claude Code 개발 착수 시점에 최종 지침서+앱 폴더와 함께 직접 전달할 예정이라고 명시적으로 진술,PRISM 통합 세부설계는 이 연구단계보다 Claude Code가 실제 코드베이스·DB 접근권한을 가진 개발단계에서 결정하는 것이 더 정확·효율적이라는 사용자 판단,accepted,Ian,Ian,Claude Code 개발 착수 시 PRISM 통합 설계가 실제로 필요해지는 시점(이 연구 범위 밖·개발단계로 이관),02_EVIDENCE/Evidence_Gaps.md GAP-08; 05_EXECUTION/Gate_Dashboard.csv G7; 08_DELIVERABLES/Analysis_Package_Spec_RootCause.md·KeyFactor.md·MSA.md·Maintenance.md
DEC-010,2026-09-10,v0.2,"Ian의 재정정('통계 분석은 하나의 툴만 사용하는 것이 아니라 연속으로 분석이 이어지는 것이 일반적입니다. 그러한 조합단위의 분석 그룹을 클로드가 조합작업을 할 수 있도록 연구를 진행해 주세요')에 따라 G9의 산출물을 '패키지마다 매번 새로 쓰는 프로즈 명세'에서 '재사용 가능한 원자 모듈 라이브러리 + 조합 규칙(Composition Rule)'으로 전환한다. 기존 5개 패키지 명세(ResultVerification·RootCause·KeyFactor·MSA·Maintenance)는 폐기하지 않고, 이 모듈 카탈로그로 전부 재구성 가능함을 검증하는 근거로 재활용한다",기존처럼 매 패키지를 개별 프로즈 문서로 작성하는 방식을 계속 유지하는 안(기각 — Ian이 명시적으로 '조합작업'이 가능한 구조를 요구),Ian이 채팅에서 실제 통계분석은 여러 기법이 연속으로 이어지는 것이 일반적이므로 조합단위의 분석 그룹을 Claude가 조합작업할 수 있도록 연구를 진행하라고 명시적으로 지시,기존 5개 패키지 명세에 반복적으로 나타난 하위요소(정규성검정·효과크기·검정자동선택·해석조립·안전폴백 등)를 모듈로 추출하면 새 패키지를 빠르고 일관되게 만들 수 있다는 가정; KNIME/Alteryx류의 '재사용 노드 체이닝' 아키텍처가 유사한 원리로 이미 상용화되어 있음(SRC-138) — 결정론적 조합 로직이므로 무AI 제약과도 정합적,accepted,Ian,Ian,모듈 카탈로그로 새 패키지를 실제로 빠르게 조합할 수 없다고 판명될 시,08_DELIVERABLES/Analysis_Module_Library_and_Composition_Rules.md; 00_GOVERNANCE/Research_Charter.md G9 재보강
