finding_id,question_or_hypothesis_id,claim,scope,finding_status,evidence_state,supporting_artifacts,contradicting_artifacts,effect_or_pattern,uncertainty,assumptions,limitations,attribution_level,implication,prohibited_overreach,reviewer,decision
FND-01,RQ-01/H1,Navigator 기반 질문식 UI가 오분석 선택을 줄일 것이다,MVP Navigator,hypothesis,observed,SRC-104;SRC-105;SRC-106,없음,미측정,높음(직접 비교실험 없음),의료/HCI 도메인 패턴이 제조 도메인에 전이됨,도메인 상이; 표본 없음,design-rationale-only,Navigator 우선 개발 근거로 활용 가능(검증 전 단계),'검증됨' 표현 금지,unassigned,pending-review
FND-02,RQ-03/H2,효과크기+제조적 의미 병기가 오판단을 줄일 것이다,결과화면,hypothesis,observed,SRC-101;SRC-102;SRC-108,없음,미측정,중간~높음,UX/심리학 일반원리가 제조 CTQ 맥락에도 적용됨,제조 도메인 실증 없음,literature-supported,결과화면 정보구조(§21) 설계 근거로 활용 가능,'사용자 오판단이 실제로 감소했다' 주장 금지,unassigned,pending-review
FND-03,RQ-04/H3,LLM 해석전용 제한에도 환각 잔여위험 존재,Interpretation Engine,hypothesis,observed,SRC-103,없음,미측정,중간,일반 LLM 전반 서베이 결과가 좁은 태스크에도 일부 적용됨,태스크 특이적 실증 없음,literature-supported,해석문 자동 검수 루브릭·가드레일 설계 필요성 근거,'환각이 완전히 제거되었다' 주장 금지,unassigned,pending-review
FND-04,RQ-09/H4,공개 사례에서 가전/조립라인 SPC 적용이 확인되며 Case Library 구성이 가능함을 시사,Case Library 방향성,hypothesis,observed,SRC-109;SRC-110,없음,미측정,중간,해외/타사 사례가 국내 중소형 가전사에도 유사할 것,국내 실제 라인 데이터 없음; 규모·설비 차이 가능,literature-supported,Case Library 초안 구성 시 참고 프레임으로 사용 가능,'국내 사내 라인에도 동일하게 적용된다' 주장 금지,unassigned,pending-review
FND-05,RQ-10/CLM-09,실제 사내 가전 조립 현장의 통계적 판단 니즈,Case Library / MVP 시나리오,hypothesis,observed(1건),SRC-113;CASE-001,없음,에어컨 공정에서 상황인식 부재·습관적 판단·반응적 비교 패턴 관찰,높음(표본 1건·1인),Ian의 경험이 조직 전반을 대표할 것,타 제품군(냉장고/세탁기/조리기기)·타 인원 미검증,primary-single-source,Navigator·MVP 우선순위 설계에 참고 가능하나 일반화 금지,'제조 현장 전반의 니즈가 파악되었다'는 주장 금지,unassigned,pending-review — 표본 확대 필요
FND-06,CLM-11,CTQ 관리도·공정능력분석이 이미 사내 웹앱으로 자동화되어 있어 baseline 가정을 갱신해야 한다,MVP 범위(G6),supported,observed,SRC-113,없음,기존 baseline(Excel/Minitab/JMP 등)이 불완전했음이 확인됨,낮음(직접 확인된 사실),사내 도구가 에어컨 CTQ 전체를 커버한다고 가정,타 제품군에도 동일 도구가 적용되는지 미확인,primary-observed,SmartStat 차별화 지점을 원인분석·개선검증·상황인식·예방적비교로 재조준,'사내 기존 도구가 모든 것을 해결한다'는 반대 방향의 과잉해석도 금지,unassigned,pending-review
FND-07,CLM-12,"사용자는 검정 선택 이전에 '이 상황이 통계적 판단이 필요한 상황인지' 인식하는 단계에서부터 막히며, 정확한 도구가 있어도 익숙한 습관적 판단이 채택을 방해할 수 있다",Navigator 설계 원칙; 채택 리스크,hypothesis,observed(1건),SRC-113,없음,미측정(적응 마찰의 크기),높음(표본 1건),,단일 인터뷰이 경험,literature 근거 없음 — 순수 1차 관찰,Navigator에 '상황인식' 진입 단계 추가 검토; 속도/편의성이 정확도만큼 중요한 성공기준일 수 있음,'모든 사용자가 습관적 판단을 선호한다'는 일반화 금지,unassigned,pending-review
FND-08,CLM-13,현재 비교·검증은 문제가 명백해진 뒤에만 반응적으로 발생하고 사전 예방적 비교는 없다,Navigator 시나리오 확장,hypothesis,observed(1건),SRC-113,없음,미측정,높음(표본 1건),,단일 사례,,예방적 비교 시나리오를 Navigator 후보에 추가,'예방적 비교가 항상 가치있다'는 주장 금지(검증 전),unassigned,pending-review
FND-09,RQ-02/CLM-21,"기획서 §28 Navigator 결정트리에 7개 오매핑 위험구간(조건확인 순서 역전, 표본수 하한 부재→CLT로 조건부 완화, 등분산 위반 처리→Welch 기본값화 제안, ANOVA도 동일 문제 반복, 다중비교 보정 안내 부재, 비모수 대안 부재, 독립성/자기상관 미검토(신규))이 식별됨",Analysis Navigator 로직(헌장목표 G2),hypothesis(self-reviewed),observed(1차감사+2차 자기비판적 재검토),SRC-126;SRC-127;SRC-128;SRC-129,없음,미측정(위험도 상대크기는 실측 데이터 필요),"중간(1차+2차 재검토로 다소 감소, 독립검증 부재로 완전 해소는 아님)","동일 행위자가 목표설정·방법설계·1차평가·2차재검토를 모두 겸함(거버넌스 리스크, 독립리뷰 불가로 waived)",독립 통계전문가 검증 없음(GAP-07 waived); 실데이터 시뮬레이션 없음(FND-10에서 보강됨),self-reviewed(waived-independent) — DEC-006,Navigator 실행순서·Welch 기본값화·표본수 경고·다중비교 감지·자기상관 체크 로직을 설계요구사항으로 반영 검토,'Navigator 로직 검증이 완료되었다' 또는 '독립검증을 거쳤다'는 주장 절대 금지,unassigned(Ian 최종 승인 대기),self-reviewed — 실제 전문가 확보 시 최우선 재검토
FND-10,RQ-02/CLM-24~27,"몬테카를로 시뮬레이션(RUN-009)으로 Navigator 감사(FND-09)의 7개 위험 중 4개(등분산위반→Welch기본값화, 다중비교, CLT견고성, 자기상관)를 합성데이터로 정량화함 — 특히 자기상관은 rho=0.9에서 1종오류율이 63.8%까지 치솟아 4개 중 가장 심각한 위험으로 시사됨",Analysis Navigator 로직(헌장목표 G2/G4),supported(시뮬레이션),observed(시뮬레이션·재현가능),SRC-130;CLM-24;CLM-25;CLM-26;CLM-27,없음,Student's t 1종오류율 22.3%(worst-case) vs Welch 5.6%; pairwise FWER 12.5% vs ANOVA 5.0%; 자기상관 rho 0→0.9 시 1종오류율 4.7%→63.8%; 지수분포 CLT견고성 확인(4.06~5.12%),낮음(계산 자체는 결정론적·재현가능)~높음(합성데이터가 실제 CTQ 데이터의 분포·표본수·자기상관 강도를 대표하는지는 미검증),합성 데이터의 파라미터(표본수/분산비/rho)는 Claude가 설계한 예시적 worst-case이며 실측값이 아님,시뮬레이션 방법론 자체는 표준적(numpy/scipy)이나 실데이터 검증 없이는 '제조 현장에서도 이 정도로 심각하다'고 단정 불가,self-reviewed(합성데이터 시뮬레이션) — 독립검증 아님(GAP-07 waived 동일 적용),Navigator 설계요구사항(08_DELIVERABLES/Navigator_Design_Requirements.md)에 반영; P3에서 실 CTQ 데이터 확보 시 자기상관 강도 실측을 최우선 검증항목으로 지정,"'실제 제조 현장에서 이 수치(22.3%, 63.8% 등)가 그대로 나타난다'는 주장 절대 금지 — 합성데이터의 예시적 결과일 뿐임",unassigned(Ian 최종 승인 대기),self-reviewed — 실데이터 확보 또는 전문가 확보 시 재검토
FND-11,RQ-07/CLM-28/CLM-29,"Case_Library_Register.csv 8개 사례를 기획서 §34(Phase1)/§35(Phase2)와 대조한 결과 완전커버 0건·부분커버 3건(Navigator 인식 문제)·미커버 5건이며, 추가로 Phase1 범위 설계 자체에 두 가지 구조적 공백(가정확인 도구 부재, MSA 부재)이 있음이 발견됨",MVP 범위(헌장목표 G1/G2),supported(설계문서 대조),observed(1차자료 원문 대조),SRC-000;SRC-201;08_DELIVERABLES/MVP_Coverage_Matrix.md,없음,해당없음(설계문서 원문 대조이므로 결정론적),낮음(원문 대조 자체는 명확)~중간('이것이 문제다'라는 평가는 판단),기획서의 Phase1/2/3 구분이 의도된 단계적 축소라는 점을 전제로 하지 않고 공백으로만 해석하지 않도록 주의,이 매트릭스는 CASE-002~008(문헌 7건)의 정성적 대응에 의존하며 국내 사내 실증은 CASE-001(1건)뿐,self-reviewed(설계문서 대조) — 독립검증 아님,08_DELIVERABLES/MVP_Coverage_Matrix.md·Navigator_Design_Requirements.md에 반영; Phase1/2 경계 재검토를 Ian에게 제안,'Phase1 범위가 부족하다/잘못됐다'는 단정 금지 — 의도된 단계적 설계일 수 있음을 병기,unassigned(Ian 검토 대기),self-reviewed — Ian 최종 판단 대기
FND-12,전체 헌장(G1~G9)/DEC-008,"Ian이 2026-09-10 명시적으로 정정: (1)본 제품은 독립 앱이 아니라 기존 PRISM(사내 CTQ 자동분석 앱)의 Add-on 모듈이며, (2)CTQ는 PRISM이 이미 커버하므로 Add-on의 대상은 PRISM 밖의 개선·관리 활동(G8 5대주제와 일치)이고, (3)Add-on에는 AI가 탑재되지 않아 해석은 전부 결정론적 규칙·템플릿 기반이어야 하며, (4)여러 통계기법을 자동 연계하는 '분석 패키지'(G9, 신규) 설계가 핵심 요구사항이다",전체 연구 프레이밍 및 최종 산출물 형태,supported(사용자 직접 진술),stated(1차 진술),사용자 채팅 메시지(2026-09-10),,없음,없음(사용자의 명시적 진술이므로 불확실성 낮음),기존 연구(Navigator 통계로직 감사·MVP 커버리지·Case Library·G8 5대주제)는 통계적 정확성·현장니즈 근거로서 폐기되지 않고 그대로 유효 — '독립 앱' 프레이밍과 'LLM 해석엔진' 전제만 정정 대상,PRISM의 실제 기술 스택·통합 방식은 여전히 미확인(GAP-08),primary-stated,Research_Charter.md 전면 정정(DEC-008); 신규 목표 G9(분석 패키지) 추가; GAP-04 재정의→GAP-09; 결과검증 패키지 명세 1건 작성 착수,'정정 이전 산출물이 전부 무효'라는 과잉해석 금지 — 통계적 발견은 유효함을 명시,Ian,accepted(Ian 본인 진술이므로 즉시 반영)
FND-13,RQ-11/DEC-010,"모듈 라이브러리 방식이 실제로 새 분석 패키지 조합 비용을 낮춘다 — 예방적비교 패키지는 신규 모듈 0개, 신뢰성·안전재고 패키지는 각각 4~5개 신규 모듈만으로 조합되었다(전체 재작성 대비)",G9 모듈 라이브러리/분석 패키지 설계,supported(설계 실증),observed(직접 조합 실행 결과),Analysis_Module_Library_and_Composition_Rules.md §4·§7·§8;Analysis_Package_Spec_ProactiveComparison.md;Analysis_Package_Spec_Reliability.md;Analysis_Package_Spec_SafetyStock.md,없음,"신규 모듈 수: 예방적비교=0, 신뢰성=5(§2.8), 안전재고=4(§2.9) — 기존 6개 패키지 평균 대비 현저히 적음",낮음(직접 계수된 사실)~중간('비용 절감'이라는 해석은 다른 방식과의 직접 비교실험이 아니라 사후 비교),처음부터 프로즈로 새로 썼을 경우의 비용을 실측하지 않고 정성적으로 비교함,3개 사례만으로 일반화된 '비용 절감률'을 수치화하지 않음 — 정성적 패턴 관찰 수준,self-reviewed(설계 실증),향후 신규 패키지(DOE·Taguchi 등) 확장 시에도 동일 절차(§5)를 따르면 유사한 절감을 기대할 수 있음을 시사,'모듈화가 항상 개발비용을 줄인다'는 일반 소프트웨어공학 주장으로 과잉해석 금지 — 이 3개 사례에 한정된 관찰,unassigned(Ian 검토 대기),pending-review
FND-14,GAP-09/DEC-013,"무AI 배포 환경에서는 해석 템플릿의 '구조적 완전성'(모든 슬롯 조합에 템플릿이 존재하는가)과 '문구 품질'(실사용자가 오해석하지 않는가)이 서로 다른 종류의 검증이며, 전자는 Claude가 결정론적으로 점검 가능하지만 후자는 프로토타입과 실사용자가 있어야만 검증 가능하다",G5/G9 해석 템플릿 설계 방법론,supported(방법론 실증),observed(6개 패키지 재검토 결과),GAP09_Interpretation_Template_Coverage_Matrix.md;Analysis_Module_Library_and_Composition_Rules.md §2.7,없음,"슬롯을 배타적핵심분류/접두경고/목록형조립 3유형으로 분류 → 6개 패키지 전부 구조적 완전성 확인, 실제 누락 2건(유의+중간 템플릿, Maintenance Rule2+다중위반) 발견·수정",낮음(분류 자체는 결정론적 점검)~높음(문구 품질은 전혀 검증되지 않음),이 3유형 분류가 향후 모든 신규 패키지의 슬롯에도 빠짐없이 적용 가능하다고 가정(아직 8개 패키지에서만 검증),'구조적으로 완전하다'는 것이 '사용자가 이해하기 쉽다'는 것을 보장하지 않음 — 이 발견 자체가 이 구분의 필요성을 보여줌,self-reviewed(방법론 수립+적용),향후 모든 신규 패키지 설계 절차(§5)에 '해석 슬롯 유형 판정' 단계로 공식 반영됨,'해석 템플릿이 실사용자에게 검증되었다'는 주장 절대 금지 — 구조적 완전성만 확인되었음을 항상 병기,unassigned(Ian 검토 대기),pending-review
FND-15,G2/DEC-011,"Navigator v2(스무고개 방식) 결정트리를 9개 시나리오로 셀프 드라이런한 결과 실제 설계결함 2건이 발견되었다 — (1) 조치 시점과 확인 여부를 혼동한 질문 설계, (2) 데이터가 극히 빈약할 때도 억지로 패키지를 추천하려던 폴백 로직",G2 Navigator 질문흐름 설계,supported(드라이런 실증),observed(자체 시뮬레이션),Navigator_Question_Flow.md §8,없음,"9개 시나리오 중 2개(S8,S9)에서 문제 발견, 즉시 수정, 7개는 문제없이 정상 라우팅됨",중간(자체 드라이런이므로 실사용자가 실제로 동일한 혼란을 겪을지는 별도 검증 필요),"시나리오 9개가 실제 사용자 분포를 대표한다고 가정(Case_Library_Register.csv 기반 + 의도적 경계사례로 구성, 무작위 표본 아님)","이 드라이런은 GAP-07과 동일한 근거등급 한계(자기검토, 모르는 쟁점은 못 찾음)를 가짐","self-reviewed(대체통제, GAP-07과 동일 등급) — 독립검증 아님",Navigator_Question_Flow.md Q2 문구·§5 폴백 로직 즉시 수정에 반영됨,'Navigator v2가 실사용자 검증을 통과했다'는 주장 절대 금지 — Claude의 자체 드라이런일 뿐,unassigned(Ian 검토 대기),pending-review — Ian의 실제 스팟체크 권고
FND-16,G10/G11/DEC-012,Ian은 두 차례(신뢰성·안전재고 착수 여부) 모두 Claude가 근거 기반으로 제시한 '보류/제외' 권장안을 채택하지 않고 직접 '지금 착수'를 선택했다 — 특히 안전재고는 Claude가 도메인 불일치 위험을 명시적으로 고지한 뒤에도 착수를 선택했다,G10/G11 범위결정 거버넌스,supported(사용자 직접 응답),stated(AskUserQuestion 응답),Decision_Log.csv DEC-012,없음,"3개 질의 중 1개(다변량모니터링)는 Claude 권장 채택, 2개(신뢰성·안전재고)는 Claude 권장 기각",낮음(사용자의 명시적 선택이므로 불확실성 낮음),Ian의 선택이 문헌근거(신뢰성) 또는 위험 감수 판단(안전재고)에 기반한 의도적 결정이라고 가정 — 근거는 응답 자체에 명시됨,이 발견은 '누가 맞았는가'를 판정하지 않음 — 제품 방향 결정은 헌장상 Ian의 고유 권한(Research_Charter.md 이해관계자 조항)이므로 Claude 권장안 기각 자체가 문제가 아님,primary-stated,"G10·G11을 헌장에 신규 목표로 추가, 두 패키지 모두 근거등급을 낮게 명시한 채로 1차 설계 진행(GAP-10/11)",'Ian의 결정이 통계적으로 최적이다' 또는 반대로 '위험하다'는 가치판단 금지 — 사실관계만 기록,Ian,accepted(Ian 본인 결정이므로 즉시 반영)
