claim_id,statement,scope,claim_status,source_id,source_location,relation,evidence_grade,limitation,reviewer,review_date
CLM-01,질문 중심 Navigator UI가 메뉴 나열형 UI보다 비전문가의 검정 오선택을 줄인다,MVP Navigator 설계,hypothesis,SRC-104,PMC4627976 abstract/design rationale,contextual,medium,의료연구자 대상 도구로 제조 현장 비전문가와 사용자군 상이; 직접 비교실험 아님,Ian,2026-09-09
CLM-02,동일 통계결과라도 p-value 단독 제시는 실질적 유의성 판단 오류(작은 효과의 과잉대응 등)를 유발할 수 있다,결과화면 설계,supported(문헌수준),SRC-101,NN/g 기사 본문,supports,medium-high,UX 실무 기관 자료로 동료심사 학술논문 아님; 제조 도메인 실증 아님,Ian,2026-09-09
CLM-03,통계적 유의성의 정형화된 짧은 해석 문구는 존재하지만 모든 맥락에서 안전하지 않으며 신중한 설계가 필요하다,해석엔진 문구 템플릿,supported(문헌수준),SRC-102,Frontiers 2018 본문,supports,high,심리학 연구방법론 맥락으로 제조 CTQ 맥락과 다름,Ian,2026-09-09
CLM-04,LLM은 프롬프트·역할 제한을 두어도 환각(사실과 다른 단정적 서술)을 완전히 제거하지 못한다,Interpretation Engine 안전설계,supported(일반문헌),SRC-103,arXiv 2510.06265 서베이,supports,medium,일반 LLM 전반 서베이로 '수치 재서술'로 제한된 좁은 태스크 특이적 실증은 아님,Ian,2026-09-09
CLM-05,제조 CTQ 데이터는 V0(측정시스템)~V5(시간/드리프트) 변동 위계를 사전에 구분하지 않으면 부적절한 subgroup·검정으로 이어질 수 있다,Data Quality/Navigator 전제조건,accepted(내부 방법론),SRC-201,spc-profile.md 변동 위계 섹션,supports,n/a(거버넌스 문서),본 프로젝트 채택 방법론 문서로 외부 동료심사는 아니나 스킬 자체가 governance 승인됨,Ian,2026-09-09
CLM-06,기획서(§1-6)가 제시하는 6가지 현장 문제(용어장벽 P-value 이해곤란 등)는 대상 사용자 1차 조사로 아직 검증되지 않은 설계자 가설이다,연구 baseline,hypothesis,SRC-000,기획서 §44 문제 정의 섹션,contextual,low(1차 근거 없음),작성자 자신의 경험적 관찰에 근거하며 외부 검증·사용자 데이터 없음,Ian,2026-09-09
CLM-07,주방가전(kitchen appliance) 생산 현장에서는 실제로 다수의 CTQ와 공정변수에 대해 통계적 품질관리가 적용되며 교육용 사례로 문서화되어 있다,Case Library(§32) 근거,supported(문헌수준),SRC-109,Iowa State 공학교육 사례 논문,supports,high,해외 대학 교육용 사례로 국내 중소형 가전사의 실제 라인과 규모·설비가 다를 수 있음,Ian,2026-09-09
CLM-08,조립라인 환경에서 SPC 기반 공정능력(Process Capability) 평가가 실제로 수행되며 학술적으로 보고된다,Case Library / Phase2 Capability 기능 근거,supported(문헌수준),SRC-110,ScienceDirect Procedia 논문,supports,high,특정 산업/설비 사례이며 가전 조립라인과 공정 특성이 동일하지 않을 수 있음; 초록 수준 검토,Ian,2026-09-09
CLM-09,실제 사내 가전 조립 공정에서 발생하는 CTQ·현장 통계적 판단 니즈의 구체적 목록 (신규·최우선),Case Library / MVP 시나리오 / RQ-07,observed(1건),SRC-113,CASE-001 (인터뷰 세션1),supports,medium(표본 1건),에어컨 1개 제품군·1인 인터뷰 기준이므로 다른 제품군(냉장고/세탁기/조리기기) 및 타 인원으로 확대 검증 필요,Ian,2026-09-09
CLM-11,CTQ(냉매충전량·체결토크)에 대한 관리도·공정능력분석은 이미 사내 웹 앱으로 자동화되어 있어, SmartStat의 차별화 지점은 관리도/공정능력이 아니라 원인분석·개선검증·상황인식·예방적 비교 쪽에 있다,MVP 범위 재검토(G6),observed,SRC-113,CASE-001 인터뷰 답변,contradicts,medium(표본 1건),baseline 가정(경쟁 프로그램은 Excel/Minitab/JMP뿐)이 불완전했음을 보여줌; 사내 기존 도구의 정확한 기능범위는 별도 확인 필요,Ian,2026-09-09
CLM-12,사용자는 통계 분석이 필요한 상황 자체를 인식하지 못하는 경우가 많으며(검정 선택 이전 단계), 정확한 도구가 있어도 익숙한 습관적 판단이 더 편해서 계속 선택될 위험이 있다(적응 마찰),Analysis Navigator 설계 원칙; 채택 리스크,observed,SRC-113,CASE-001 인터뷰 답변("몰라서"보다 "편해서"),contextual,medium(표본 1건),단일 인터뷰이의 경험이며 조직 전체의 습관을 대표하지 않을 수 있음,Ian,2026-09-09
CLM-13,현재 비교·검증 활동은 문제가 명백해진 뒤에만 반응적으로 발생하며 사전 예방적 비교 분석은 없다,Navigator 시나리오(예방적 비교 유형 추가 필요),observed,SRC-113,CASE-001 인터뷰 답변(협력사 피드백 관련),contextual,medium(표본 1건),1개 제품군 사례; 예방적 비교가 실제로 가치가 있는지는 별도 검증 필요,Ian,2026-09-09
CLM-14,Weibull 분포 기반 신뢰성 분석은 소모성 부품의 수명·최적 교체주기 산정에 학술적으로 활용된다,MVP 범위 확장 후보(Case Library),supported(문헌수준),SRC-114;SRC-116,ScienceDirect 2025 사례연구; SixSigma.us 가이드,supports,high,일반 설비 정비 사례이며 가전 조립라인의 소모성 부품(예: 지그, 소모성 공구)에 직접 적용된 사례는 아님,Ian,2026-09-09
CLM-15,수요 변동성을 고려한 안전재고 산정 공식은 통계적 방법(표준편차·서비스수준)으로 확립되어 있다,MVP 범위 확장 후보(Case Library),supported(문헌수준),SRC-115,MIT 강의자료,supports,high,일반 공급망 관리 이론이며 본 앱의 핵심(CTQ 품질분석)과 방법론적으로 다른 영역(재고이론); 범위 포함 여부는 헌장 리뷰 필요,Ian,2026-09-09
CLM-16,측정시스템분석(MSA/Gauge R&R) 없이 공정능력·관리도 결론을 내리면 측정오차를 공정변동으로 오인할 위험이 있으며 이는 산업 전반에서 반복 보고되는 문제다,Case Library 핵심주제1(MSA); Data Quality Check(§25) 근거,supported(문헌수준),SRC-117;SRC-118,ScienceDirect 초록; Gage R&R 사례연구,supports,high,사례 자체는 특정 산업 한정이나 원리(측정오차 분해)는 일반화 가능한 통계원리; 본 사 실제 MSA 수행여부는 CASE-001에서 명시적으로 확인되지 않음,Ian,2026-09-09
CLM-17,경험·직관 기반 원인추정(예: 부품/설비 교환법) 후 대응하는 패턴은 여러 제조업 사례에서 공통적으로 보고되며, 가설검정·회귀로 후보원인을 통계적으로 좁히는 방법이 대안으로 제시된다,Case Library 핵심주제2(원인분석 방법론); RQ-02 보강,supported(문헌수준),SRC-119;SRC-120,DMAIC 사례연구(자동차부품·커패시터 제조),supports,high,사례 산업(자동차부품/커패시터)이 가전조립과 다르나 방법론적 패턴은 CASE-001과 정성적으로 일치,Ian,2026-09-09
CLM-18,다수의 공정변수 중 실제 영향이 큰 소수 요인(vital few)을 찾을 때 시행착오(OFAT)보다 실험계획법(DOE)이 상호작용효과까지 반영해 더 효율적이라고 문헌에서 보고된다,Case Library 핵심주제3(핵심요인분석); MVP 범위 확장 후보,supported(문헌수준),SRC-121;SRC-122,DOE 제조공정 사례; 반도체 수율개선 사례,supports,high,반도체·일반 제조 사례이며 가전조립 파라미터 조정(CASE-001)에 DOE가 실제로 필요한 규모인지는 미확인(과설계 위험),Ian,2026-09-09
CLM-19,개선 조치 후 확인런(confirmation run)이나 통계적 검정 없이 '좋아진 것 같다'는 주관적 판단으로 개선을 확정하는 관행은 문헌에서도 흔히 지적되는 오류패턴이며 CASE-001과 일치한다,Case Library 핵심주제4(결과검증); FND-07 보강,supported(문헌수준+1차관찰),SRC-123;SRC-113,가설검정 실무 해설; CASE-001 인터뷰,supports,medium-high,실무 가이드 성격 자료로 학술 동료심사는 아니나 CASE-001의 1차 관찰과 정합,Ian,2026-09-09
CLM-20,개선 직후 효과가 있어도 공식적 관리계획(Control Plan)·모니터링 체계 없이는 시간이 지나며 원상태로 회귀하는 패턴이 널리 보고된다,Case Library 핵심주제5(유지관리 방안),supported(문헌수준),SRC-124;SRC-125,SPC 산업 사례연구; Quality Magazine 자동화SPC 사례,supports,medium-high,사례 산업이 다양하고 가전조립 특이적 실증은 아님; CASE-001의 '재발시 재조정 반복'과 정성적으로 일치,Ian,2026-09-09
CLM-21,기획서 §28의 Navigator 결정트리는 정규성·등분산 조건 확인을 검정 선택 이전이 아니라 이후에 배치하고 있어 사후 정당화(post-hoc rationalization) 위험이 있으며, 표본수 하한·다중비교 보정·비모수 대안·독립성(자기상관) 확인이 트리에 명시되어 있지 않다(7개 위험, 2차 재검토 반영),Analysis Navigator 로직 검증(헌장목표 G2),hypothesis(self-reviewed),SRC-126;SRC-127;SRC-128;SRC-129,Navigator_Logic_Statistical_Audit.md Review Pass 2,contradicts,medium(1차감사+2차 자기비판적 재검토, 독립검증은 waived),Claude 혼자 수행한 2차 재검토로 진짜 독립검토가 아님; 실데이터 시뮬레이션 없음; 자기 감사의 구조적 한계로 스스로 모르는 쟁점은 여전히 놓칠 수 있음,unassigned(독립리뷰 GAP-07 waived — DEC-006),2026-09-09
CLM-22,Welch's t-test를 등분산 검정 후 조건부로 쓰기보다 처음부터 기본값으로 사용하는 것이 통계학 문헌에서 권장되며, 이를 채택하면 위험1(순서역전)의 상당 부분이 함께 해소된다,Analysis Navigator 로직 개선안(헌장목표 G2),supported(문헌수준)+self-reasoning,SRC-127,Delacre·Lakens·Leys 2017 (Int'l Review of Social Psychology),supports,high(원 논문은 심리학 데이터 맥락, 제조 CTQ 데이터 특이적 검증은 아님),MVP 범위(Phase1 vs Phase2) 변경을 시사하므로 Ian의 제품설계 판단 필요; 통계적 정당성과 제품 로드맵 결정은 별개 사안,Ian(제품결정) / Claude(통계적 근거 제시),2026-09-09
CLM-23,제조 조립라인처럼 시간순으로 연속 수집되는 데이터는 자기상관(autocorrelation)이 흔하며, 이를 무시하고 표준 t-test/ANOVA를 적용하면 유효표본수가 부풀려져 P-value가 실제보다 작게(과대유의) 나올 위험이 있다,Analysis Navigator 신규 위험(2차 재검토에서 발견),supported(문헌수준),SRC-128;SRC-129,SPC 데이터 독립성 실무자료,supports,medium-high,SPC/관리도 맥락의 실무자료이며 본 앱의 t-test/ANOVA 시나리오에 정량적으로 얼마나 영향을 미치는지는 실측 필요; spc-profile.md V5(시간/드리프트)와 개념적으로 연결,unassigned,2026-09-09
CLM-10,암묵지 도출에는 추상적 질문보다 구체적 사건(critical incident) 질문과 반복적 후속질문(probing)이 더 효과적이다,Field_Case_Library_Protocol.md 인터뷰 설계,supported(문헌수준),SRC-111;SRC-112,RE2015 논문; ScienceDirect 2020 실험 비교 연구,supports,high,소프트웨어 요구공학 맥락의 연구로 제조 현장 인터뷰에 직접 실증된 것은 아니나 인터뷰 방법론 일반 원리로 채택,Ian,2026-09-09
