gate_id,phase,scope_version,status,required_evidence,current_evidence,missing_items,allowed_work,prohibited_claims,owner,reviewer,decision_date,reopen_trigger
G0,P0 Contract,v0.1,in_review,승인된 헌장; 오너 범위 합의,헌장 초안(본 세션 작성),독립 리뷰어 지정 및 승인,헌장 보완·질문 구체화,연구가 완료되었다는 주장,Ian,unassigned,,범위/목표 변경 시
G1,P1 Baseline,v0.1,in_progress,경쟁도구 비교 baseline,일반 SPC/조립라인 문헌(SRC-107;109;110),제조 특화 경쟁사 상세비교; 실제 사내 baseline,추가 baseline 자료수집,본앱 우월성 정량 주장,Ian,,,경쟁환경 변화 시
G2,P2 Evidence,v0.1,in_progress,Source Register; Claim-Evidence Matrix,소스 130건; claim 29건 + RQ-07 MVP 커버리지 매트릭스(08_DELIVERABLES/MVP_Coverage_Matrix.md) 완료 — Phase1/2 설계문서 자체 대조로 구조적 공백 2건(CLM-28,29) 발견,제조도메인 동료심사 문헌; 1차 현장자료 확대,추가 문헌수집·claim 보강,문헌만으로 효과성 입증 주장,Ian,,,신규 반증자료 발견 시
G1b,P1-P2 Field,v0.1,in_progress,조립현장 1차 인터뷰 + 산업공통 문헌사례(Case Library),CASE-001(에어컨 1차 인터뷰) + CASE-002~008(문헌기반 7건: 신뢰성/재고/MSA/원인분석/핵심요인/결과검증/유지관리),타 제품군 실사례; 통계전문가 검토(CASE-004~008 사내 적용타당성 미검증),사용자 판단에 따라 추가 인터뷰 대신 문헌사례 확장 지속 가능,'산업공통 문헌사례가 본 사에도 그대로 적용된다'는 주장 금지(정성적 정합만 확인, CASE-001과의 부분 대조 수준),Ian,,,사내 적용 타당성 확인 시 또는 통계전문가 리뷰 시
G3,P3 Data readiness,v0.1,planned(DEC-007로 명시적 이관),데이터 사전/계보/품질보고,없음,실 CTQ 데이터셋,대기 — 프로토타입 단계로 이관,데이터 검증 완료 주장,Ian,,,데이터 확보 시
G4,P4 Method freeze,v0.1,in_progress,승인된 분석계획/역치,Navigator_Logic_Statistical_Audit.md(1차감사+2차 자기비판적 재검토+3차 시뮬레이션 정량검증 RUN-009, 위험 7건 중 4건 합성데이터로 정량화) — 아직 승인된 분석계획 아님; 독립전문가 리뷰는 waived(DEC-006),실데이터 기반 정규성/등분산/자기상관 위반 빈도 실측(P3 이후, 특히 자기상관 최우선); 실 전문가 확보 시 최우선 재검토,감사·시뮬레이션 결과를 설계요구사항으로 정리(08_DELIVERABLES); Ian의 최종 accepted 판단 대기,'방법 검증 완료' 또는 '독립검증을 거쳤다' 주장 금지(self-reviewed까지만 도달, waived); 시뮬레이션 수치가 실제 현장 수치라는 주장 금지,Ian,Claude(self-review),,실데이터 확보 시 또는 실 전문가 확보 시
G5,P5 Execution,v0.1,planned(DEC-007로 명시적 이관),실행로그/사용자조사 결과,없음,인터뷰/프로토타입,대기 — 프로토타입 단계로 이관,실사용자 검증 완료 주장,Ian,,,1차 자료 확보 시
G6,P6 Adjudication,v0.2,reopened→completed(self-adjudicated, 정정반영),findings register,FND-01~12 종합판정(08_DELIVERABLES/Final_Report.md) — **2026-09-10 DEC-008로 제품 프레이밍(독립앱→PRISM Add-on) 정정, 통계적 판정 내용(Navigator 위험·MVP 갭·Case Library)은 그대로 유효하여 재작업 없이 유지**,PRISM 기술정보(GAP-08) 반영한 Final_Report 갱신은 아직 미수행,Final_Report에 PRISM Add-on 프레이밍 보강 갱신 필요(다음 세션),'모든 연구질문이 실증적으로 완료되었다' 또는 'PRISM 통합까지 검증됐다' 주장 금지,Ian,Claude(self-adjudicated),2026-09-10,PRISM 기술정보 확보 또는 실데이터·실사용자 결과 확보 시
G7,P7 Translation,v0.2,completed(1~4차)+모듈화 실증+Navigator v2 드라이런+GAP-09 전수화+G10/G11 1차 명세 완료,최종보고서/실행요약/개발지침서,"Final_Report.md·Executive_Brief.md·Research_Handoff_Package.md·Navigator_Design_Requirements.md·MVP_Coverage_Matrix.md·분석 패키지 명세 6종(결과검증·원인분석·핵심요인분석·MSA·유지관리·**예방적비교(신규 조합 시범사례)**)·Analysis_Module_Library_and_Composition_Rules.md(모듈~20개+조합규칙+신규패키지 조합검증+추가후보 점검)·**Navigator_Question_Flow.md(신규 — 객관식 질문흐름으로 G2·G9 통합)**·Navigator_Question_Flow.md §8(9개 시나리오 셀프 드라이런, 수정 2건)·GAP09_Interpretation_Template_Coverage_Matrix.md(신규 — 6개 패키지 구조적 완전성 확인)·Analysis_Package_Spec_Reliability.md(DELIV-PKG-SPEC-007, 신규)·Analysis_Package_Spec_SafetyStock.md(DELIV-PKG-SPEC-008, 신규)","권고사항 채택 여부 결정; M-RELY-REPLACEINTERVAL(교체주기 최적화) 완성(GAP-10 잔여); 안전재고 패키지 근거등급 보강(GAP-11 잔여); GAP-09 템플릿 문구의 실사용자 이해도 검증(GAP-02/05, 프로토타입 필요)","권고사항 채택 여부 결정; SRC-148 본문 확보 또는 대체문헌으로 M-RELY-REPLACEINTERVAL 완성; 재고관리 전문교과서 조사로 안전재고 패키지 근거 보강; GAP-09 템플릿 문구의 실사용자 이해도 검증(GAP-02/05, 프로토타입 확보 시); Final_Report/Executive_Brief의 PRISM·모듈화·8개 패키지(G10/G11 포함) 프레이밍 전면 갱신(누적 스테일)",'Ian이 승인했다' 또는 'Claude Code 개발에 바로 착수 가능하다'는 주장 금지(GAP-08은 개발단계 인수항목으로 명시); 'PRISM 통합까지 설계했다'는 주장 금지,Ian,,2026-09-10,헌장 범위 변경 시 또는 Claude Code 개발 착수 시(GAP-08 인수)
G8,P8 Handoff,v0.1,planned,핸드오프 패키지,없음,G7 완료,대기,프로젝트 종료 주장,Ian,,,G7 완료 시
